blind_id,audio_path,source_audio_path,prompt_id,seed_idx,seed,request_type,calibration_band,demucs_ratio,demucs_present_0p1791,selection_seed
sa3cal_012_fff5ccab5a00,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_012_fff5ccab5a00.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0138/sa3_held_out_0138_s03_2026084603.wav,held_out_0138,3,2026084603,vocal,far_above,0.9999747794630911,1,20260709
sa3cal_013_1d4be0951969,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_013_1d4be0951969.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0236/sa3_dev_0236_s01_2026120001.wav,dev_0236,1,2026120001,vocal,near_threshold,0.1832363176537463,1,20260709
sa3cal_014_58cd634245d7,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_014_58cd634245d7.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0249/sa3_held_out_0249_s02_2026095702.wav,held_out_0249,2,2026095702,instrumental,far_below,6.99183695436922e-07,0,20260709
sa3cal_015_68464bf55ea9,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_015_68464bf55ea9.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0251/sa3_held_out_0251_s05_2026095905.wav,held_out_0251,5,2026095905,instrumental,far_below,7.30196416109735e-07,0,20260709
sa3cal_016_e45d053ce82c,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_016_e45d053ce82c.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0029/sa3_held_out_0029_s01_2026073701.wav,held_out_0029,1,2026073701,vocal,near_threshold,0.18295750432789873,1,20260709
sa3cal_017_9dac0a75645c,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_017_9dac0a75645c.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0010/sa3_dev_0010_s02_2026097402.wav,dev_0010,2,2026097402,instrumental,far_below,7.075771665017764e-07,0,20260709
sa3cal_018_c5af7c6fc670,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_018_c5af7c6fc670.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0031/sa3_held_out_0031_s02_2026073902.wav,held_out_0031,2,2026073902,instrumental,near_threshold,0.12969359461627983,0,20260709
sa3cal_019_9cc64a40d829,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_019_9cc64a40d829.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0011/sa3_held_out_0011_s02_2026071902.wav,held_out_0011,2,2026071902,vocal,far_below,5.215034372719781e-07,0,20260709
sa3cal_020_23169f2584b8,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_020_23169f2584b8.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0155/sa3_held_out_0155_s01_2026086301.wav,held_out_0155,1,2026086301,instrumental,far_below,7.076725477991297e-07,0,20260709
sa3cal_021_2c2b00b0618b,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_021_2c2b00b0618b.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0078/sa3_dev_0078_s06_2026104206.wav,dev_0078,6,2026104206,instrumental,near_threshold,0.18041170114631522,1,20260709
sa3cal_022_075ce3d21a93,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_022_075ce3d21a93.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0149/sa3_held_out_0149_s07_2026085707.wav,held_out_0149,7,2026085707,vocal,far_above,0.9999697886841263,1,20260709
sa3cal_023_e52839ef9ff4,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_023_e52839ef9ff4.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0174/sa3_dev_0174_s00_2026113800.wav,dev_0174,0,2026113800,instrumental,far_above,0.48181367930628294,1,20260709
sa3cal_024_b7ab48a99cde,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_024_b7ab48a99cde.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0075/sa3_held_out_0075_s06_2026078306.wav,held_out_0075,6,2026078306,instrumental,near_threshold,0.1627393099650195,0,20260709
sa3cal_025_acf1eab2c11e,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_025_acf1eab2c11e.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0202/sa3_held_out_0202_s03_2026091003.wav,held_out_0202,3,2026091003,instrumental,far_above,0.21993052353456907,1,20260709
sa3cal_026_d25e2212c490,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_026_d25e2212c490.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0116/sa3_held_out_0116_s00_2026082400.wav,held_out_0116,0,2026082400,instrumental,far_above,0.2086036127552617,1,20260709
sa3cal_027_829ca3295383,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_027_829ca3295383.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0096/sa3_held_out_0096_s06_2026080406.wav,held_out_0096,6,2026080406,vocal,far_below,5.556952068294429e-07,0,20260709
sa3cal_028_640d286e4129,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_028_640d286e4129.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0041/sa3_dev_0041_s07_2026100507.wav,dev_0041,7,2026100507,instrumental,far_below,6.343153676385948e-07,0,20260709
sa3cal_029_975eeb1435b7,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_029_975eeb1435b7.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0031/sa3_held_out_0031_s03_2026073903.wav,held_out_0031,3,2026073903,instrumental,far_above,0.25182054372580553,1,20260709
sa3cal_030_2174f8f60d5b,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_030_2174f8f60d5b.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0114/sa3_held_out_0114_s05_2026082205.wav,held_out_0114,5,2026082205,instrumental,near_threshold,0.1774039371568104,0,20260709
sa3cal_031_5cae4ca468d4,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_031_5cae4ca468d4.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0005/sa3_held_out_0005_s03_2026071303.wav,held_out_0005,3,2026071303,instrumental,near_threshold,0.16185365574508773,0,20260709
sa3cal_032_0374d0940076,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_032_0374d0940076.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0222/sa3_dev_0222_s01_2026118601.wav,dev_0222,1,2026118601,vocal,far_below,5.373690867852885e-07,0,20260709
sa3cal_033_edea5cfd706c,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_033_edea5cfd706c.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0107/sa3_held_out_0107_s03_2026081503.wav,held_out_0107,3,2026081503,instrumental,far_above,0.2554287928346657,1,20260709
sa3cal_034_9ae9220c1111,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_034_9ae9220c1111.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0011/sa3_held_out_0011_s04_2026071904.wav,held_out_0011,4,2026071904,vocal,far_below,5.265679539688569e-07,0,20260709
sa3cal_035_ad14c0c5b318,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_035_ad14c0c5b318.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0011/sa3_held_out_0011_s06_2026071906.wav,held_out_0011,6,2026071906,vocal,far_below,5.620362885318461e-07,0,20260709
sa3cal_036_993b4aa516f0,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_036_993b4aa516f0.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0011/sa3_held_out_0011_s00_2026071900.wav,held_out_0011,0,2026071900,vocal,far_below,5.409364082386585e-07,0,20260709
sa3cal_037_c5cc744b5729,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_037_c5cc744b5729.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0112/sa3_held_out_0112_s01_2026082001.wav,held_out_0112,1,2026082001,vocal,near_threshold,0.17698252309306367,0,20260709
sa3cal_038_1e9e252d11c9,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_038_1e9e252d11c9.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0186/sa3_held_out_0186_s02_2026089402.wav,held_out_0186,2,2026089402,instrumental,far_below,7.375168838919748e-07,0,20260709
sa3cal_039_06dc54617ae4,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_039_06dc54617ae4.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0011/sa3_held_out_0011_s05_2026071905.wav,held_out_0011,5,2026071905,vocal,far_below,5.58406865822601e-07,0,20260709
sa3cal_040_fd5971cac964,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_040_fd5971cac964.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0002/sa3_dev_0002_s00_2026096600.wav,dev_0002,0,2026096600,vocal,far_above,0.9999137302293319,1,20260709
sa3cal_041_fc409714aba3,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_041_fc409714aba3.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0119/sa3_held_out_0119_s02_2026082702.wav,held_out_0119,2,2026082702,vocal,near_threshold,0.17459117144267358,0,20260709
sa3cal_042_ea3018dea5de,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_042_ea3018dea5de.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0016/sa3_dev_0016_s06_2026098006.wav,dev_0016,6,2026098006,instrumental,far_below,7.085053538333959e-07,0,20260709
sa3cal_043_c131c4c41ba8,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_043_c131c4c41ba8.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0084/sa3_dev_0084_s03_2026104803.wav,dev_0084,3,2026104803,vocal,far_above,0.9999597192857365,1,20260709
sa3cal_044_f5d20b001d07,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_044_f5d20b001d07.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0060/sa3_held_out_0060_s02_2026076802.wav,held_out_0060,2,2026076802,instrumental,near_threshold,0.16592662597903604,0,20260709
sa3cal_045_a1c0e8035f2e,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_045_a1c0e8035f2e.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0042/sa3_held_out_0042_s01_2026075001.wav,held_out_0042,1,2026075001,vocal,near_threshold,0.17737148557067012,0,20260709
sa3cal_046_1e2b67a1ef2d,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_046_1e2b67a1ef2d.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0054/sa3_held_out_0054_s03_2026076203.wav,held_out_0054,3,2026076203,instrumental,far_above,0.648170685490843,1,20260709
sa3cal_047_d83a2d9e9d98,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_047_d83a2d9e9d98.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0207/sa3_held_out_0207_s07_2026091507.wav,held_out_0207,7,2026091507,instrumental,far_below,6.683433395376152e-07,0,20260709
sa3cal_048_bf201d60feb4,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_048_bf201d60feb4.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0107/sa3_held_out_0107_s04_2026081504.wav,held_out_0107,4,2026081504,instrumental,far_above,0.4157492446441671,1,20260709
sa3cal_049_300a8290d019,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_049_300a8290d019.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0249/sa3_held_out_0249_s03_2026095703.wav,held_out_0249,3,2026095703,instrumental,far_below,7.297111780818926e-07,0,20260709
sa3cal_050_080fa864aee9,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_050_080fa864aee9.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0107/sa3_held_out_0107_s05_2026081505.wav,held_out_0107,5,2026081505,instrumental,far_above,0.2303666976988348,1,20260709
sa3cal_051_7c42513d4348,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_051_7c42513d4348.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0202/sa3_held_out_0202_s07_2026091007.wav,held_out_0202,7,2026091007,instrumental,near_threshold,0.20006264412432076,1,20260709
sa3cal_052_80c311d59214,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_052_80c311d59214.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0249/sa3_held_out_0249_s01_2026095701.wav,held_out_0249,1,2026095701,instrumental,far_below,6.904607724635695e-07,0,20260709
sa3cal_053_34270bd71d1f,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_053_34270bd71d1f.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0200/sa3_dev_0200_s01_2026116401.wav,dev_0200,1,2026116401,vocal,far_above,0.9999672658719196,1,20260709
sa3cal_054_45234a39eca2,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_054_45234a39eca2.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0252/sa3_held_out_0252_s01_2026096001.wav,held_out_0252,1,2026096001,instrumental,near_threshold,0.15727686714615116,0,20260709
sa3cal_055_36c9415e70d4,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_055_36c9415e70d4.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0149/sa3_held_out_0149_s00_2026085700.wav,held_out_0149,0,2026085700,vocal,far_above,0.9999699525697173,1,20260709
sa3cal_056_41cedd9cc3b7,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_056_41cedd9cc3b7.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0102/sa3_dev_0102_s05_2026106605.wav,dev_0102,5,2026106605,vocal,far_above,0.9999545681280126,1,20260709
sa3cal_057_b5fa0331de19,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_057_b5fa0331de19.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0181/sa3_dev_0181_s03_2026114503.wav,dev_0181,3,2026114503,vocal,near_threshold,0.17790872356044993,0,20260709
sa3cal_058_267d94cef779,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_058_267d94cef779.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0075/sa3_held_out_0075_s00_2026078300.wav,held_out_0075,0,2026078300,instrumental,near_threshold,0.19186696604805997,1,20260709
sa3cal_059_316d42279cff,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_059_316d42279cff.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/held_out_0205/sa3_held_out_0205_s02_2026091302.wav,held_out_0205,2,2026091302,vocal,far_below,5.133176087068943e-07,0,20260709
sa3cal_060_b97d5ea6f9df,paper_prep/sao/stable_audio_3_medium/label_calibration/audio/sa3cal_060_b97d5ea6f9df.wav,paper_prep/sao/stable_audio_3_medium/prevalence_full500/audio/dev_0068/sa3_dev_0068_s07_2026103207.wav,dev_0068,7,2026103207,vocal,near_threshold,0.18163547067764674,1,20260709
