task_id,prompt_id,candidate_index,requested_vocal,prompt_split,evpd_cache_index,sigma,demucs_score,panns_score,candidate_present,target_status
dev_0004__cand07,dev_0004,7,1,train,39,0.8,0.4619067311286926,0.07184789329767227,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand00,dev_0005,0,0,train,40,0.8,1.4057332009542733e-06,0.012292979285120964,0,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand01,dev_0005,1,0,train,41,0.8,0.00032693601679056883,0.016935739666223526,0,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand02,dev_0005,2,0,train,42,0.8,0.11072706431150436,0.05784688889980316,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand03,dev_0005,3,0,train,43,0.8,0.624809741973877,0.3158342242240906,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand04,dev_0005,4,0,train,44,0.8,0.19805581867694855,0.11689241975545883,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand05,dev_0005,5,0,train,45,0.8,0.5731914043426514,0.1118013858795166,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand06,dev_0005,6,0,train,46,0.8,0.6419632434844971,0.2078440636396408,1,PENDING_PROMOTED_INSTRUMENT
dev_0005__cand07,dev_0005,7,0,train,47,0.8,0.022637702524662018,0.014297951944172382,0,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand00,dev_0006,0,1,train,48,0.8,0.7286221981048584,0.18027448654174805,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand01,dev_0006,1,1,train,49,0.8,0.1982738971710205,0.23791611194610596,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand02,dev_0006,2,1,train,50,0.8,0.8393338322639465,0.4496726393699646,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand03,dev_0006,3,1,train,51,0.8,0.22654877603054047,0.08898237347602844,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand04,dev_0006,4,1,train,52,0.8,0.7411947846412659,0.38811028003692627,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand05,dev_0006,5,1,train,53,0.8,0.19639447331428528,0.39534398913383484,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand06,dev_0006,6,1,train,54,0.8,0.5486406683921814,0.5557920932769775,1,PENDING_PROMOTED_INSTRUMENT
dev_0006__cand07,dev_0006,7,1,train,55,0.8,0.6999307870864868,0.24109560251235962,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand00,dev_0007,0,1,val,56,0.8,0.5388427376747131,0.20918568968772888,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand01,dev_0007,1,1,val,57,0.8,0.39259836077690125,0.16988922655582428,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand02,dev_0007,2,1,val,58,0.8,0.3936596214771271,0.5096463561058044,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand03,dev_0007,3,1,val,59,0.8,0.8695913553237915,0.5512071847915649,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand04,dev_0007,4,1,val,60,0.8,0.5261285305023193,0.17414969205856323,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand05,dev_0007,5,1,val,61,0.8,0.43217483162879944,0.48861831426620483,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand06,dev_0007,6,1,val,62,0.8,0.625259280204773,0.4475579857826233,1,PENDING_PROMOTED_INSTRUMENT
dev_0007__cand07,dev_0007,7,1,val,63,0.8,0.8097520470619202,0.18364980816841125,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand00,dev_0008,0,1,train,64,0.8,0.19960257411003113,0.11717535555362701,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand01,dev_0008,1,1,train,65,0.8,0.15949378907680511,0.11941209435462952,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand02,dev_0008,2,1,train,66,0.8,0.5177249312400818,0.21025694906711578,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand03,dev_0008,3,1,train,67,0.8,0.31913331151008606,0.10015087574720383,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand04,dev_0008,4,1,train,68,0.8,0.31067097187042236,0.13646885752677917,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand05,dev_0008,5,1,train,69,0.8,0.29372984170913696,0.13299912214279175,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand06,dev_0008,6,1,train,70,0.8,0.6786905527114868,0.09087621420621872,1,PENDING_PROMOTED_INSTRUMENT
dev_0008__cand07,dev_0008,7,1,train,71,0.8,0.4080039858818054,0.07860797643661499,1,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand00,dev_0009,0,0,train,72,0.8,0.4543323516845703,0.22607025504112244,1,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand01,dev_0009,1,0,train,73,0.8,5.048591447120998e-06,0.023720266297459602,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand02,dev_0009,2,0,train,74,0.8,1.246922010977869e-06,0.013951176777482033,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand03,dev_0009,3,0,train,75,0.8,0.0010179104283452034,0.019283311441540718,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand04,dev_0009,4,0,train,76,0.8,0.00032019801437854767,0.011026791296899319,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand05,dev_0009,5,0,train,77,0.8,0.02750948816537857,0.014857051894068718,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand06,dev_0009,6,0,train,78,0.8,1.8063750530927791e-06,0.02499839849770069,0,PENDING_PROMOTED_INSTRUMENT
dev_0009__cand07,dev_0009,7,0,train,79,0.8,0.24218259751796722,0.07403562217950821,1,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand00,dev_0010,0,0,val,80,0.8,0.029525907710194588,0.07775042206048965,0,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand01,dev_0010,1,0,val,81,0.8,3.7315016925276723e-06,0.019051559269428253,0,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand02,dev_0010,2,0,val,82,0.8,0.15124990046024323,0.15608620643615723,1,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand03,dev_0010,3,0,val,83,0.8,0.1223694235086441,0.1395907998085022,1,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand04,dev_0010,4,0,val,84,0.8,0.19765643775463104,0.11308855563402176,1,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand05,dev_0010,5,0,val,85,0.8,1.7091614381570253e-06,0.032834090292453766,0,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand06,dev_0010,6,0,val,86,0.8,0.03428441286087036,0.08210021257400513,0,PENDING_PROMOTED_INSTRUMENT
dev_0010__cand07,dev_0010,7,0,val,87,0.8,0.05422866344451904,0.08682014793157578,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand00,dev_0011,0,1,train,88,0.8,0.07385177165269852,0.09703938663005829,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand01,dev_0011,1,1,train,89,0.8,0.4172774851322174,0.09071335941553116,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand02,dev_0011,2,1,train,90,0.8,0.45614686608314514,0.28132277727127075,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand03,dev_0011,3,1,train,91,0.8,0.5074852108955383,0.15735287964344025,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand04,dev_0011,4,1,train,92,0.8,0.2687690258026123,0.1832670420408249,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand05,dev_0011,5,1,train,93,0.8,0.06921648979187012,0.6500759720802307,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand06,dev_0011,6,1,train,94,0.8,0.15637031197547913,0.06468784064054489,1,PENDING_PROMOTED_INSTRUMENT
dev_0011__cand07,dev_0011,7,1,train,95,0.8,0.3889239728450775,0.3852514326572418,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand00,dev_0012,0,1,train,96,0.8,0.5668257474899292,0.1469322293996811,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand01,dev_0012,1,1,train,97,0.8,0.404532253742218,0.1577276885509491,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand02,dev_0012,2,1,train,98,0.8,0.28772178292274475,0.10658304393291473,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand03,dev_0012,3,1,train,99,0.8,0.5399202704429626,0.17188411951065063,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand04,dev_0012,4,1,train,100,0.8,0.33181118965148926,0.0532974898815155,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand05,dev_0012,5,1,train,101,0.8,0.4439389407634735,0.5557810664176941,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand06,dev_0012,6,1,train,102,0.8,0.6317064166069031,0.048361171036958694,1,PENDING_PROMOTED_INSTRUMENT
dev_0012__cand07,dev_0012,7,1,train,103,0.8,0.5598160028457642,0.1052728146314621,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand00,dev_0013,0,1,train,104,0.8,0.4926948547363281,0.41752856969833374,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand01,dev_0013,1,1,train,105,0.8,0.10275521874427795,0.6574490666389465,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand02,dev_0013,2,1,train,106,0.8,0.6708351969718933,0.1060759574174881,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand03,dev_0013,3,1,train,107,0.8,0.44510072469711304,0.05471379682421684,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand04,dev_0013,4,1,train,108,0.8,0.2502880096435547,0.18475300073623657,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand05,dev_0013,5,1,train,109,0.8,0.3513745069503784,0.15458418428897858,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand06,dev_0013,6,1,train,110,0.8,0.4770070016384125,0.08803097158670425,1,PENDING_PROMOTED_INSTRUMENT
dev_0013__cand07,dev_0013,7,1,train,111,0.8,0.33724820613861084,0.44224512577056885,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand00,dev_0014,0,1,train,112,0.8,0.9435642957687378,0.17091022431850433,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand01,dev_0014,1,1,train,113,0.8,0.7468547821044922,0.11324547976255417,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand02,dev_0014,2,1,train,114,0.8,0.384744793176651,0.1305825561285019,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand03,dev_0014,3,1,train,115,0.8,0.48536622524261475,0.15230821073055267,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand04,dev_0014,4,1,train,116,0.8,0.2440439760684967,0.12665781378746033,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand05,dev_0014,5,1,train,117,0.8,0.2701970040798187,0.26060405373573303,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand06,dev_0014,6,1,train,118,0.8,0.38113781809806824,0.07932808995246887,1,PENDING_PROMOTED_INSTRUMENT
dev_0014__cand07,dev_0014,7,1,train,119,0.8,0.25052767992019653,0.1166626438498497,1,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand00,dev_0015,0,0,train,120,0.8,0.04354118928313255,0.49703142046928406,1,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand01,dev_0015,1,0,train,121,0.8,0.18041418492794037,0.12424678355455399,1,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand02,dev_0015,2,0,train,122,0.8,8.352182703674771e-06,0.020424416288733482,0,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand03,dev_0015,3,0,train,123,0.8,0.012881808914244175,0.09008081257343292,0,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand04,dev_0015,4,0,train,124,0.8,0.11067016422748566,0.08667679131031036,1,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand05,dev_0015,5,0,train,125,0.8,0.1621772050857544,0.06918072700500488,1,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand06,dev_0015,6,0,train,126,0.8,0.010450279340147972,0.3968772292137146,0,PENDING_PROMOTED_INSTRUMENT
dev_0015__cand07,dev_0015,7,0,train,127,0.8,0.030520454049110413,0.08714811503887177,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand00,dev_0016,0,0,train,128,0.8,7.613792604388436e-06,0.041988976299762726,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand01,dev_0016,1,0,train,129,0.8,2.064497493847739e-06,0.023329686373472214,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand02,dev_0016,2,0,train,130,0.8,1.4747878367415979e-06,0.023811055347323418,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand03,dev_0016,3,0,train,131,0.8,2.321043893971364e-06,0.019791388884186745,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand04,dev_0016,4,0,train,132,0.8,1.7112946579800337e-06,0.016319140791893005,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand05,dev_0016,5,0,train,133,0.8,2.188170128647471e-06,0.025481631979346275,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand06,dev_0016,6,0,train,134,0.8,1.6235730072367005e-05,0.013760874979197979,0,PENDING_PROMOTED_INSTRUMENT
dev_0016__cand07,dev_0016,7,0,train,135,0.8,0.3254300355911255,0.041607100516557693,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand00,dev_0017,0,1,train,136,0.8,0.3181709051132202,0.22555269300937653,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand01,dev_0017,1,1,train,137,0.8,0.9300035238265991,0.27269595861434937,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand02,dev_0017,2,1,train,138,0.8,0.9576044082641602,0.21926575899124146,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand03,dev_0017,3,1,train,139,0.8,0.7692908048629761,0.1819785088300705,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand04,dev_0017,4,1,train,140,0.8,0.2943212687969208,0.1945115178823471,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand05,dev_0017,5,1,train,141,0.8,0.4153129756450653,0.16349264979362488,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand06,dev_0017,6,1,train,142,0.8,0.578655481338501,0.18997250497341156,1,PENDING_PROMOTED_INSTRUMENT
dev_0017__cand07,dev_0017,7,1,train,143,0.8,0.7807222008705139,0.1957993060350418,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand00,dev_0018,0,1,train,144,0.8,0.2778703272342682,0.1006561741232872,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand01,dev_0018,1,1,train,145,0.8,0.539747416973114,0.10546766966581345,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand02,dev_0018,2,1,train,146,0.8,0.4272688627243042,0.06793440878391266,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand03,dev_0018,3,1,train,147,0.8,0.3883012533187866,0.07983965426683426,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand04,dev_0018,4,1,train,148,0.8,0.2362958788871765,0.17993122339248657,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand05,dev_0018,5,1,train,149,0.8,0.29991456866264343,0.12657123804092407,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand06,dev_0018,6,1,train,150,0.8,0.4770166873931885,0.11395350843667984,1,PENDING_PROMOTED_INSTRUMENT
dev_0018__cand07,dev_0018,7,1,train,151,0.8,0.4030913710594177,0.09551230072975159,1,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand00,dev_0019,0,0,train,152,0.8,1.389393560202734e-06,0.01703738607466221,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand01,dev_0019,1,0,train,153,0.8,1.0243093129247427e-06,0.021075960248708725,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand02,dev_0019,2,0,train,154,0.8,0.0005592532688751817,0.03817765414714813,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand03,dev_0019,3,0,train,155,0.8,0.04010465368628502,0.029973063617944717,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand04,dev_0019,4,0,train,156,0.8,1.659363078942988e-05,0.02042957954108715,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand05,dev_0019,5,0,train,157,0.8,7.448424730682746e-05,0.014033951796591282,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand06,dev_0019,6,0,train,158,0.8,8.903086381906178e-06,0.01458380464464426,0,PENDING_PROMOTED_INSTRUMENT
dev_0019__cand07,dev_0019,7,0,train,159,0.8,6.635996214754414e-06,0.01703106239438057,0,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand00,dev_0020,0,1,train,160,0.8,0.31169238686561584,0.12727370858192444,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand01,dev_0020,1,1,train,161,0.8,0.447360634803772,0.08863808214664459,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand02,dev_0020,2,1,train,162,0.8,0.47766488790512085,0.14170226454734802,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand03,dev_0020,3,1,train,163,0.8,0.5966507196426392,0.16735203564167023,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand04,dev_0020,4,1,train,164,0.8,0.5471794605255127,0.1619243174791336,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand05,dev_0020,5,1,train,165,0.8,0.25281789898872375,0.1114058569073677,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand06,dev_0020,6,1,train,166,0.8,0.27101126313209534,0.156553253531456,1,PENDING_PROMOTED_INSTRUMENT
dev_0020__cand07,dev_0020,7,1,train,167,0.8,0.3359362781047821,0.08899062126874924,1,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand00,dev_0021,0,0,val,168,0.8,1.4877565490678535e-06,0.017858045175671577,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand01,dev_0021,1,0,val,169,0.8,1.794450781744672e-06,0.018377648666501045,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand02,dev_0021,2,0,val,170,0.8,9.171200872515328e-06,0.014930566772818565,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand03,dev_0021,3,0,val,171,0.8,2.4382145511481212e-06,0.020870797336101532,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand04,dev_0021,4,0,val,172,0.8,2.211240371252643e-06,0.020311815664172173,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand05,dev_0021,5,0,val,173,0.8,1.1694513659676886e-06,0.016335107386112213,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand06,dev_0021,6,0,val,174,0.8,7.847062988730613e-06,0.016102701425552368,0,PENDING_PROMOTED_INSTRUMENT
dev_0021__cand07,dev_0021,7,0,val,175,0.8,1.7171807940030703e-06,0.01415286585688591,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand00,dev_0022,0,0,train,176,0.8,2.481354840710992e-06,0.015167636796832085,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand01,dev_0022,1,0,train,177,0.8,0.0005378900095820427,0.015356016345322132,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand02,dev_0022,2,0,train,178,0.8,1.1569567277547321e-06,0.011075768619775772,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand03,dev_0022,3,0,train,179,0.8,0.0006240285583771765,0.01923859491944313,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand04,dev_0022,4,0,train,180,0.8,8.01051555754384e-06,0.011790737509727478,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand05,dev_0022,5,0,train,181,0.8,0.0005572344525717199,0.027142591774463654,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand06,dev_0022,6,0,train,182,0.8,1.3485901035892311e-06,0.02621961012482643,0,PENDING_PROMOTED_INSTRUMENT
dev_0022__cand07,dev_0022,7,0,train,183,0.8,3.5793895222013816e-05,0.012094761244952679,0,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand00,dev_0023,0,1,train,184,0.8,0.4701277017593384,0.19803035259246826,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand01,dev_0023,1,1,train,185,0.8,0.13150492310523987,0.41550272703170776,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand02,dev_0023,2,1,train,186,0.8,0.2717577815055847,0.269071489572525,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand03,dev_0023,3,1,train,187,0.8,0.40782004594802856,0.5062317252159119,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand04,dev_0023,4,1,train,188,0.8,0.03640160337090492,0.31380632519721985,0,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand05,dev_0023,5,1,train,189,0.8,0.18932892382144928,0.37887150049209595,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand06,dev_0023,6,1,train,190,0.8,0.2737607955932617,0.09992809593677521,1,PENDING_PROMOTED_INSTRUMENT
dev_0023__cand07,dev_0023,7,1,train,191,0.8,0.3150038719177246,0.46415039896965027,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand00,dev_0024,0,1,train,192,0.8,0.5265203714370728,0.10000621527433395,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand01,dev_0024,1,1,train,193,0.8,0.5611050128936768,0.06419189274311066,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand02,dev_0024,2,1,train,194,0.8,0.556261420249939,0.5729995369911194,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand03,dev_0024,3,1,train,195,0.8,0.42532968521118164,0.31605905294418335,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand04,dev_0024,4,1,train,196,0.8,0.449203759431839,0.1430320292711258,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand05,dev_0024,5,1,train,197,0.8,0.19992150366306305,0.10697987675666809,1,PENDING_PROMOTED_INSTRUMENT
dev_0024__cand06,dev_0024,6,1,train,198,0.8,0.3100315034389496,0.5161455273628235,1,PENDING_PROMOTED_INSTRUMENT
