sha256	bytes	path	identity
0a0c7e153a7bb6f6061b155739e9502cf83977bb959186d4df688595302a9474	71471	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/model.safetensors.index.json	XL-SFT
e367811c6d8cd9162e630da86622dd6edc9d5c2b7f605eadd68e69a227c35e88	105981	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/modeling_acestep_v15_xl_base.py	XL-SFT
a778e9dd942f5e8b2c09c55370782d318834432b03dabbcdf70e6ed49ad6358b	3841215	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/acestep-v15-xl-sft/silence_latent.pt	XL-SFT
0437e45c94563b09e13cb7a64478fc406947a93cb34a7e05870fc8dcd48e23fd	1191586416	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/model.safetensors	Qwen3-Embedding-0.6B tokenizer/text encoder
da17edb604c40deaf09e9b24974e590d1ca83a374070e5d0884cfa4bed9a99b0	337431388	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/vae/diffusion_pytorch_model.safetensors	ACE-Step v1.5 VAE
c0284b582e14987fbd3d5a2cb2bd139084371ed9acbae488829a1c900833c680	707	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/added_tokens.json	configuration/tokenizer
87a2728cb8dc9fe424d624542f6060ec05a1d285ebbec578bb078900e33396b5	4116	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/chat_template.jinja	configuration/tokenizer
bb23c1607cfe059a58d8f0196cf1cebb52082b1056b8e358a579da80a5759420	1359	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/config.json	configuration/tokenizer
8831e4f1a044471340f7c0a83d7bd71306a5b867e95fd870f74d0c5308a904d5	1671853	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/merges.txt	configuration/tokenizer
76862e765266b85aa9459767e33cbaf13970f327a0e88d1c65846c2ddd3a1ecd	613	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/special_tokens_map.json	configuration/tokenizer
def76fb086971c7867b829c23a26261e38d9d74e02139253b38aeb9df8b4b50a	11423705	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/tokenizer.json	configuration/tokenizer
443bfa629eb16387a12edbf92a76f6a6f10b2af3b53d87ba1550adfcf45f7fa0	5404	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/tokenizer_config.json	configuration/tokenizer
ca10d7e9fb3ed18575dd1e277a2579c16d108e32f27439684afa0e10b1440910	2776833	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/Qwen3-Embedding-0.6B/vocab.json	configuration/tokenizer
14e019904df567f26df750317a70e2bd08f9f8f3c40ff4a24c97d1cd3f20ccd2	425	/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion_envs/model_cache/ACE-Step1.5/vae/config.json	configuration/tokenizer
