rating_id,label_a_voice_presence,perceived_vocal_type,vocal_extent,label_b_constraint,confidence_1_to_5,notes,request_mode,label_a_amended,reveal_sequence,rating_source
r_f2b60ecf62cd801d5db4,yes,singing,sustained,satisfied,,,vocal,False,36,pi:Richard
r_39da1819785886cac0d9,yes,rap,intermittent,satisfied,,,vocal,False,37,pi:Richard
r_f6688212e68fd081cdea,yes,humming,intermittent,violated,,,instrumental,False,38,pi:Richard
r_e78af08f009614bb6281,yes,singing,intermittent,violated,,,instrumental,False,39,pi:Richard
r_1ae39fe39cbabc0bace5,yes,rap,sustained,satisfied,,,vocal,False,40,pi:Richard
r_5a1991cca9bcef96ac22,yes,rap,intermittent,satisfied,,,vocal,False,41,pi:Richard
r_5f30abd90079c8344645,yes,singing,sustained,satisfied,,,vocal,False,42,pi:Richard
r_f9c8ab5b14caa4040148,yes,singing,sustained,violated,,,instrumental,False,43,pi:Richard
r_b8d60986f6641c6bcbe5,yes,rap,sustained,satisfied,,,vocal,False,44,pi:Richard
r_6c6bd0b36499dcf2df4d,yes,singing,sustained,satisfied,,,vocal,False,45,pi:Richard
r_0dfe388c1b0c91c60589,no,none,none,satisfied,,,instrumental,False,46,pi:Richard
r_cf53ce5e191e60f9b304,yes,singing,sustained,satisfied,,,vocal,False,47,pi:Richard
r_e62816f7043e6eec8872,no,none,none,satisfied,,,instrumental,False,48,pi:Richard
r_3efe93e2d235eb4bfc4d,yes,singing,sustained,satisfied,4,,vocal,False,49,pi:Richard
r_35052864c60ff5f54ab6,yes,choir,isolated,violated,,,instrumental,False,50,pi:Richard
r_c6f573130f54ff23b4d1,yes,singing,intermittent,violated,,,instrumental,False,51,pi:Richard
r_1da7c127f1372a25ac40,yes,singing,sustained,violated,,,instrumental,False,52,pi:Richard
r_5bdefe863792271fe593,yes,rap,isolated,satisfied,,,vocal,False,53,pi:Richard
r_abfdd69b8fab06d31631,yes,singing,sustained,violated,,,instrumental,False,54,pi:Richard
r_1f477ed2b0c77ee3089e,yes,rap,sustained,violated,,,instrumental,False,55,pi:Richard
r_a209b12bdf1338b56113,yes,rap,intermittent,satisfied,,,vocal,False,56,pi:Richard
r_a9afc0456dc6ca6f4a41,yes,singing,isolated,satisfied,,,vocal,False,57,pi:Richard
r_29d6c6603435d5a52845,yes,singing,intermittent,satisfied,,,vocal,False,58,pi:Richard
r_923a4d23e229f3b73722,yes,speech,sustained,satisfied,,,vocal,False,59,pi:Richard
r_a54711f02907df17eb7f,no,none,none,satisfied,,,instrumental,False,60,pi:Richard
r_4ea8390054d4706e8c0d,yes,rap,sustained,violated,,,instrumental,False,61,pi:Richard
r_6d0bfa9c182f70010208,yes,singing,intermittent,satisfied,,,vocal,False,62,pi:Richard
r_480dd5c7100cb1677011,yes,singing,intermittent,violated,,,instrumental,False,63,pi:Richard
r_26d217272208be0fcbd0,yes,singing,sustained,satisfied,,,vocal,False,64,pi:Richard
r_39916f0c6e90f797dda4,yes,speech,intermittent,satisfied,,,vocal,False,65,pi:Richard
r_6657446acc769a701217,yes,singing,sustained,satisfied,,,vocal,False,66,pi:Richard
r_81c491003202b9a3c6a3,yes,speech,intermittent,satisfied,,,vocal,False,67,pi:Richard
r_05c67a5f285581ed2d7d,yes,singing,sustained,violated,,,instrumental,False,68,pi:Richard
r_9c5f285ee4e9ae302c36,yes,singing,intermittent,violated,,,instrumental,False,69,pi:Richard
r_ae7e5293260fee6840d0,yes,speech,intermittent,violated,,,instrumental,False,70,pi:Richard
r_6919e310e391c8af5d94,yes,singing,sustained,satisfied,,,vocal,False,71,pi:Richard
r_08fcad85343c7bd48371,yes,singing,intermittent,satisfied,,,vocal,False,72,pi:Richard
r_341480a7a335c44f029d,no,none,none,satisfied,,,instrumental,False,73,pi:Richard
r_a0d12f81f288b6bba11a,no,none,none,violated,5,,vocal,False,74,pi:Richard
r_d0f42132b896aa81393e,yes,singing,isolated,violated,,,instrumental,False,75,pi:Richard
r_0f7f0b575cdc24e9e105,yes,singing,sustained,satisfied,,,vocal,False,76,pi:Richard
r_f2aae4c73897391384a6,yes,singing,intermittent,satisfied,,,vocal,False,77,pi:Richard
r_4b53a431cf5ca3feff83,yes,choir,intermittent,violated,,,instrumental,False,78,pi:Richard
r_0c9c178a9205294b2cdd,yes,singing,intermittent,satisfied,,,vocal,False,79,pi:Richard
r_8f4b2c21074940b7f05c,yes,singing,sustained,violated,,,instrumental,False,80,pi:Richard
r_f1824c816672fbe52a25,yes,speech,intermittent,satisfied,,,vocal,False,81,pi:Richard
r_fb4037b99db465e3288d,yes,singing,isolated,violated,,,instrumental,False,82,pi:Richard
r_a978589e079046177be2,yes,singing,sustained,violated,,,instrumental,False,83,pi:Richard
r_5f00dcaad9257e09a004,yes,speech,intermittent,satisfied,,,vocal,False,84,pi:Richard
r_837e5b2356bfd69b0721,yes,singing,sustained,violated,,,instrumental,False,85,pi:Richard
r_941ca5431a05fb7900c7,no,none,none,satisfied,,,instrumental,False,86,pi:Richard
r_543cc0733bc601a286e3,yes,voice-like/ambiguous,isolated,violated,,,instrumental,False,87,pi:Richard
r_4169870d2b32fa54382a,yes,singing,isolated,satisfied,5,,vocal,False,88,pi:Richard
r_eea1a341e5f03d28cb77,yes,rap,intermittent,satisfied,,,vocal,False,89,pi:Richard
r_d92052875dc726492dec,yes,humming,sustained,violated,,,instrumental,False,90,pi:Richard
r_dfdc9fec3a18118ede5e,yes,singing,intermittent,satisfied,,,vocal,True,91,pi:Richard
r_1eaee5ff4bf37395cdb2,yes,rap,intermittent,satisfied,,,vocal,False,92,pi:Richard
r_8b70e5a9e9a1dfa62f8c,yes,singing,intermittent,satisfied,,,vocal,False,93,pi:Richard
r_ecf7f5857ce0e7bac4ca,yes,choir,intermittent,violated,,,instrumental,False,94,pi:Richard
r_b4a4e330267447983751,yes,speech,intermittent,satisfied,,,vocal,False,95,pi:Richard
r_4d2232c5e32ed4ef72e6,yes,rap,intermittent,satisfied,,,vocal,False,96,pi:Richard
r_5ee6a4312199e4e3aac0,no,none,none,satisfied,,,instrumental,False,97,pi:Richard
r_aedfef81b57302d214af,no,none,none,satisfied,,,instrumental,False,98,pi:Richard
r_24dc074aabc134e4689f,yes,choir,sustained,violated,,,instrumental,False,99,pi:Richard
r_57e27dd8359c8453b1bc,yes,singing,intermittent,satisfied,,,vocal,False,100,pi:Richard
r_9bddd38dcc219c3d998c,yes,rap,intermittent,satisfied,,,vocal,False,101,pi:Richard
r_cc825f0c464a704a5549,yes,singing,sustained,satisfied,,,vocal,False,102,pi:Richard
r_45307fba956c8437f444,no,none,none,satisfied,,,instrumental,False,103,pi:Richard
r_3a5b68b0ff2d971ee22e,yes,speech,sustained,satisfied,,,vocal,False,104,pi:Richard
r_ace0d3adf1446b732ecd,yes,singing,intermittent,satisfied,,,vocal,False,105,pi:Richard
r_8bcaf7bebc17f89f7443,yes,none,none,satisfied,,,instrumental,False,106,pi:Richard
r_4a9a7ccc87edb08a71ae,yes,speech,sustained,satisfied,,,vocal,False,107,pi:Richard
r_60cff306b6c114898d5f,yes,singing,intermittent,satisfied,,,vocal,False,108,pi:Richard
r_b4e777efe43e94bc99a5,yes,singing,intermittent,satisfied,,,vocal,False,109,pi:Richard
r_454411de6cdff1645ea7,yes,singing,intermittent,satisfied,,,vocal,False,110,pi:Richard
r_5282c15390240d8cf323,yes,voice-like/ambiguous,intermittent,unsure,5,,instrumental,False,111,pi:Richard
r_63580732ea7033e2dbf9,yes,singing,intermittent,satisfied,,,vocal,False,112,pi:Richard
r_8d808aec4dd957ace260,no,none,none,satisfied,,,instrumental,False,113,pi:Richard
r_7f170bdd9213a27742e9,no,none,none,satisfied,,,instrumental,False,114,pi:Richard
r_90237775bb68a5002c00,yes,singing,isolated,violated,,,instrumental,False,115,pi:Richard
r_2366941dbc8c4eed97e8,yes,singing,intermittent,satisfied,,,vocal,False,116,pi:Richard
r_7028b687697b155df40d,yes,singing,isolated,violated,,,instrumental,False,117,pi:Richard
r_9ba3578fe75e14365160,yes,singing,isolated,violated,,,instrumental,False,118,pi:Richard
r_c3450532219fb04e1c67,yes,rap,sustained,violated,,,instrumental,False,119,pi:Richard
r_1e841ff0cbc70dba50f1,no,none,none,satisfied,,,instrumental,False,120,pi:Richard
r_44ec489e152f39b1c41b,yes,singing,intermittent,violated,,,instrumental,False,121,pi:Richard
r_86647ce63aae21559b76,yes,singing,intermittent,satisfied,,,vocal,False,122,pi:Richard
r_602af20eeca2ef2bae74,yes,singing,intermittent,violated,,,instrumental,False,123,pi:Richard
r_028ed15f71626d073de9,no,none,none,satisfied,2,,instrumental,False,124,pi:Richard
r_e0c435a043910a992836,yes,singing,intermittent,satisfied,,,vocal,False,125,pi:Richard
r_728dbf97b9ee8d017631,no,none,none,satisfied,,,instrumental,False,126,pi:Richard
r_b17ea7402e090047ded3,yes,singing,intermittent,satisfied,,,vocal,False,127,pi:Richard
r_13bd89a2092ada3caa15,yes,rap,isolated,satisfied,,,vocal,False,128,pi:Richard
r_dea6f67abcaf6a1970a3,yes,singing,intermittent,satisfied,,,vocal,False,129,pi:Richard
r_2b71c34507dfc58e9e52,yes,voice-like/ambiguous,isolated,violated,,,instrumental,False,130,pi:Richard
r_31dea0334e4e99d7c5cb,yes,chant,intermittent,violated,,,instrumental,False,131,pi:Richard
r_fbbe7c29788c864e0d23,yes,singing,sustained,violated,,,instrumental,False,132,pi:Richard
r_5f8356037c59c3261020,no,none,none,satisfied,,,instrumental,False,133,pi:Richard
r_891651d91765efe214d9,no,none,none,satisfied,,,instrumental,False,134,pi:Richard
r_60dd3f5d2691e591cc92,yes,singing,sustained,violated,,,instrumental,False,135,pi:Richard
r_b0288ba8519e2baa9bd6,yes,singing,sustained,satisfied,,,vocal,False,136,pi:Richard
r_08ad3e417f9cac6395fb,yes,singing,intermittent,satisfied,,,vocal,False,137,pi:Richard
r_c33285dfd89f6a932ef8,yes,voice-like/ambiguous,intermittent,violated,,,instrumental,False,138,pi:Richard
r_9da133bd66bf95816828,yes,singing,intermittent,satisfied,,,vocal,False,139,pi:Richard
r_fbbfb61eb13f12ea7f11,yes,singing,isolated,satisfied,,,vocal,False,140,pi:Richard
r_844f3673e6dcec090f97,yes,singing,isolated,satisfied,,,vocal,False,141,pi:Richard
r_db00f7b77f10b16adfb1,yes,singing,isolated,satisfied,,,vocal,False,142,pi:Richard
r_27ecd2019f1ff938861c,yes,singing,sustained,satisfied,,,vocal,False,143,pi:Richard
r_d99fd5e0b83312fb9314,yes,singing,sustained,violated,,,instrumental,False,144,pi:Richard
r_8199b18f011ac7ca6c26,yes,singing,isolated,satisfied,,,vocal,False,145,pi:Richard
r_6bc9cf6bc2f82cde7c6d,yes,singing,sustained,satisfied,,,vocal,False,146,pi:Richard
r_7c7270f132d9afb3945d,no,none,none,satisfied,,,instrumental,False,147,pi:Richard
r_22fd573142af9c854283,no,none,none,satisfied,,,instrumental,False,148,pi:Richard
r_858b0c2ddf1d0659bcad,yes,singing,sustained,satisfied,,,vocal,False,149,pi:Richard
r_3a84ac77b429497c946d,yes,speech,intermittent,satisfied,,,vocal,False,150,pi:Richard
r_86f11b0ecd07bbfaa3a6,yes,choir,intermittent,violated,,,instrumental,False,151,pi:Richard
r_75bbc8ba37123ac235ee,yes,singing,intermittent,satisfied,,,vocal,False,152,pi:Richard
r_5c2c2df1ce2cb7cc9e31,yes,rap,intermittent,satisfied,,,vocal,False,153,pi:Richard
r_946cf8861bc2e0694956,yes,singing,isolated,violated,,,instrumental,False,154,pi:Richard
r_30bd45fe6ff276dfba5c,yes,voice-like/ambiguous,isolated,satisfied,,,vocal,False,155,pi:Richard
r_72981d3430ae674fd6c4,yes,rap,intermittent,satisfied,,,vocal,False,156,pi:Richard
r_c0d4bb8f96b91af5881c,yes,singing,isolated,satisfied,,,vocal,False,157,pi:Richard
r_2fe87fdbd2169615a772,yes,rap,intermittent,satisfied,,,vocal,False,158,pi:Richard
r_8e9f3412da084cd0dc63,yes,rap,intermittent,violated,,,instrumental,False,159,pi:Richard
r_59144083857d482133d8,yes,singing,isolated,satisfied,,,vocal,False,160,pi:Richard
r_2c68e8fc8d308a93d5a1,yes,singing,sustained,satisfied,,,vocal,False,161,pi:Richard
r_80caf8e876811659ab8f,no,none,none,satisfied,,,instrumental,False,162,pi:Richard
r_bac9f71197a564be3b57,yes,singing,sustained,satisfied,,,vocal,False,163,pi:Richard
r_71ba9532f75f703b7054,yes,voice-like/ambiguous,sustained,violated,,,instrumental,False,164,pi:Richard
r_f86d4893dee3686caa1f,no,voice-like/ambiguous,none,satisfied,,,instrumental,False,165,pi:Richard
r_c740825d27dc187f8070,yes,singing,intermittent,violated,,,instrumental,False,166,pi:Richard
r_c334eab6521bc6cfe4f4,yes,speech,intermittent,satisfied,,,vocal,False,167,pi:Richard
r_0924ee6c7f50b1922fed,yes,singing,isolated,satisfied,,,vocal,False,168,pi:Richard
r_4af1151bbb9bbafafead,yes,humming,intermittent,violated,,,instrumental,False,169,pi:Richard
r_72a852748e5d1f26c61b,yes,singing,intermittent,satisfied,,,vocal,False,170,pi:Richard
r_0f98dc06fd0c2ff05d6f,yes,singing,intermittent,satisfied,,,vocal,False,171,pi:Richard
r_d8620fa88b14e385383d,yes,singing,sustained,violated,,,instrumental,False,172,pi:Richard
r_7dca9748293d58ff4093,yes,wordless vocals,isolated,violated,,,instrumental,False,173,pi:Richard
r_1daa2b099e1483fec0de,yes,singing,intermittent,violated,,,instrumental,False,174,pi:Richard
r_629f1a43ff680162eb19,yes,speech,intermittent,violated,,,instrumental,False,175,pi:Richard
r_053a495e577ff6ec1b6a,yes,speech,sustained,satisfied,,,vocal,False,176,pi:Richard
r_5a54d70fd79952e259c4,yes,rap,intermittent,violated,,,instrumental,False,177,pi:Richard
r_757717a93f1185d088f3,yes,rap,intermittent,violated,,,instrumental,False,178,pi:Richard
r_bdd7579f51f256bb61ea,yes,singing,sustained,satisfied,,,vocal,False,179,pi:Richard
r_e0780fdf5cda5f3a183b,no,none,none,satisfied,,,instrumental,False,180,pi:Richard
r_1feb57ab997bd7d4d0b4,yes,singing,intermittent,violated,,,instrumental,False,181,pi:Richard
r_53446011be01a4bb61c5,yes,singing,intermittent,satisfied,,,vocal,False,182,pi:Richard
r_f3db7f83509d915617fd,no,none,none,satisfied,,,instrumental,False,183,pi:Richard
r_0eef0f7e628a60438493,yes,singing,intermittent,satisfied,,,vocal,False,184,pi:Richard
r_47f3c42771b6a84a6c23,no,none,none,satisfied,,,instrumental,False,185,pi:Richard
r_cb657d2691a7f28e103c,yes,singing,sustained,satisfied,,,vocal,False,186,pi:Richard
r_9bd615f01972ce5f9d9f,yes,speech,sustained,satisfied,,,vocal,False,187,pi:Richard
r_97c31d7426055617536a,unsure,voice-like/ambiguous,isolated,unsure,,,instrumental,False,188,pi:Richard
r_992c8b45a4265278e024,yes,voice-like/ambiguous,sustained,violated,,,instrumental,False,189,pi:Richard
r_021a909e537cecc9d302,yes,voice-like/ambiguous,isolated,violated,,,instrumental,False,190,pi:Richard
r_039caca5cf0daad2949d,yes,singing,intermittent,violated,,,instrumental,False,191,pi:Richard
r_4bc43d2644314d1fc574,yes,singing,isolated,violated,,,instrumental,False,192,pi:Richard
r_cded0eb7e2bd57e541e4,yes,singing,isolated,violated,,,instrumental,False,193,pi:Richard
r_b0b3465b04e609696e7a,no,none,none,satisfied,,,instrumental,False,194,pi:Richard
r_eb7c99effd6efebffa3c,yes,singing,intermittent,satisfied,,,vocal,False,195,pi:Richard
r_8b22fb47f288334f9c3e,yes,singing,intermittent,violated,,,instrumental,False,196,pi:Richard
r_18e3ec8d12ed481f71ee,yes,rap,intermittent,satisfied,,,vocal,False,197,pi:Richard
r_174c5584f06532869610,yes,ooh/ah,intermittent,violated,,,instrumental,False,198,pi:Richard
r_c2a537e0079aae3c78f4,no,none,none,satisfied,,,instrumental,False,199,pi:Richard
r_0a0aa9d8d88898ab6090,yes,singing,sustained,violated,5,,instrumental,False,200,pi:Richard
r_d3c8b4085c6c35b7e777,no,none,none,satisfied,5,,instrumental,False,201,pi:Richard
