clip_id,clip_path,true_label,provenance
6053073dd2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0557_4917ed5ea1b2.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
717304485f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0183_d920698ee434.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
86d96700b5,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0042_81377c8748f8.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
8cac881e2f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0377_f5a5087746aa.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
90871c664c,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0610_1bc7779898df.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
9b9b7358d2,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0334_ffa479660183.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
ac7444d64c,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0043_ebc25c0f11b3.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
aee5f30ccb,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0016_190db19d0ad7.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
cf985bf858,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0223_801655f5e5e8.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
cfb936d14b,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0156_48ce3ea0918f.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
ee1c686eef,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0178_426aef858d6a.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
f4ba2c022f,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0503_7bde6b74b0bd.wav,yes,CXY;adjudication;legacy_pre_amendment;original_media;single_rater
86d309e93b,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0037_7370940bf1a8.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
c96ae83403,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0683_4ccc666fc57d.flac,no,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
78ef8aca62,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0030_61dd0835fc9a.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
a15a44a9dc,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0206_3e7faf12cf26.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
85e22b2802,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0567_07c3ec3b4c72.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
1bfba5cfd7,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0415_fca707c18fa5.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
3be39ff2ae,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0237_5fce794f620c.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
16251803a3,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0051_63864ca8c042.flac,yes,CXY;rare_basin;legacy_pre_amendment;original_media;single_rater
0633d156ca,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0331_f1ff243304fe.wav,no,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
ed00dc61dc,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0089_0605fcbde128.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
b3617ad47e,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0109_dd82db742d14.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
18457d8685,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0072_8bbd84c662c3.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
5f538942f7,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0045_5a7b34ed6e73.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
02a0495b02,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0311_b51e6eaab5cc.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
c0461169c3,/XYFS02/HDD_POOL/paratera_xy/pxy1289/HaocunYe/Research/AudioDiffusion/orbit-research/adsr_phase2_20260604/paper_prep/validation_A_prime/primary_package_20260709/media/aprime_0281_36a3b49e6073.wav,yes,CXY;spotcheck;legacy_pre_amendment;original_media;single_rater
