rating_id,label_a_voice_presence,confidence_1_to_5,notes,rating_source,bundle_rating_id
aprime_0646_f66fc773deb4,yes,5,,pi:Richard,r_3e4d51e2cb3818ef131e
aprime_0004_135d175c5132,yes,5,,pi:Richard,r_cb9a1358f20598f9e5f5
aprime_0473_088b54d5fec7,yes,5,,pi:Richard,r_a139fa35f80f687491dd
aprime_0395_eda0a4601ec1,yes,5,,pi:Richard,r_2a070566989316e52487
aprime_0686_e1ab9d96e86d,yes,4,,pi:Richard,r_cfd077f0f0abaa38e3fa
aprime_0199_0b332e9c48bb,yes,5,,pi:Richard,r_5dbf45dc0f589cb5cf68
aprime_0206_3e7faf12cf26,yes,5,,pi:Richard,r_7530be875c4981b85069
aprime_0087_9db027afddca,unsure,3,,pi:Richard,r_571684cd2b01b505bbf8
aprime_0071_a6902228de1a,yes,5,,pi:Richard,r_281d1a2d7c1d5ef78436
aprime_0452_2a25e418359d,yes,5,,pi:Richard,r_87170d1334b8dd6c0bfa
aprime_0677_433b5bab9af2,yes,5,,pi:Richard,r_2a461e6b39be1de02ef6
aprime_0220_26f2409390d0,yes,5,,pi:Richard,r_37cd5df26a9c2d50a23f
aprime_0293_02e92a28b5e8,yes,5,,pi:Richard,r_276e885b6fa17376fe97
aprime_0528_0dbe28d0086c,yes,5,,pi:Richard,r_480d775aac4554d82c8e
aprime_0099_659447258733,yes,5,,pi:Richard,r_b18c3cda5f487a24befd
aprime_0441_ba8caca5699d,yes,5,,pi:Richard,r_712d2c543e4e9df59c60
aprime_0250_e8b755a84a0d,yes,5,,pi:Richard,r_ad7545fc1d80866511ab
aprime_0129_d232b51597ad,yes,5,,pi:Richard,r_9bad4a931a43790bcbb3
aprime_0593_4efe81c7d888,yes,5,,pi:Richard,r_88b602bf72d2a8605bb0
aprime_0347_c1e3b56da474,yes,5,,pi:Richard,r_06585939d0046455c517
aprime_0560_b05493151a2a,yes,5,,pi:Richard,r_7ec9512794c82202fc8d
aprime_0614_0639947cd40b,yes,5,,pi:Richard,r_386bc347202d76096fec
aprime_0156_48ce3ea0918f,yes,5,,pi:Richard,r_13b07986474ff2a3a1ff
aprime_0009_29c5a77f0573,yes,5,,pi:Richard,r_6811c9cee2918b7fb8f3
aprime_0493_09ec62604c41,yes,5,,pi:Richard,r_a937e409639bc979ceed
aprime_0371_7d422f0f0050,yes,5,,pi:Richard,r_929e20bc49dde91125a1
aprime_0683_4ccc666fc57d,no,5,,pi:Richard,r_500ec1d75fac45ef63f0
aprime_0437_f520ccdf1cae,yes,5,,pi:Richard,r_b7233a72c24975854003
aprime_0035_dd7fe5ad978b,yes,5,,pi:Richard,r_153d63daca51707ee343
aprime_0570_e6aa58736a3d,yes,5,,pi:Richard,r_e42850b51b76da5f6902
aprime_0045_5a7b34ed6e73,yes,5,,pi:Richard,r_a21f545cc15d6e78be1c
aprime_0356_e96e6b9403ea,yes,5,,pi:Richard,r_3349e930442993076902
aprime_0620_236a995d6151,yes,5,,pi:Richard,r_caa0b43c3115f2286a92
aprime_0117_d5f69168ea1c,yes,5,,pi:Richard,r_53c0ecd64235b5682ca2
aprime_0651_ca2b2105628f,yes,5,,pi:Richard,r_3e6bbe341533bb45a882
aprime_0357_e095ef7dbc7b,yes,5,,pi:Richard,r_659b09b531f314392012
aprime_0321_f0230ca0f72e,yes,5,,pi:Richard,r_353699d8842f00126226
aprime_0037_7370940bf1a8,yes,5,,pi:Richard,r_0a9f4ec0f7c36692c734
aprime_0282_16cf52f5ed06,yes,5,,pi:Richard,r_dc39482cb2cc15fdd356
aprime_0535_58533f52c8d7,yes,5,,pi:Richard,r_a3e5a7586f2f11f4c509
aprime_0534_77fb5f4d206c,yes,5,,pi:Richard,r_6799831c6415908eead9
aprime_0011_b9def10055a4,yes,5,,pi:Richard,r_c602ccf1f91a5405113f
aprime_0301_c2054a7fdca5,yes,5,,pi:Richard,r_86109420c8ea3156506a
aprime_0599_fd0ddd8ffc16,yes,5,,pi:Richard,r_58d72aa05f29163c2ba2
aprime_0523_32ae483f177e,yes,5,,pi:Richard,r_565153c93e618859de5e
aprime_0109_dd82db742d14,yes,5,,pi:Richard,r_c80cb24b5b6ec117574d
aprime_0557_4917ed5ea1b2,yes,5,,pi:Richard,r_33785f18b0c886ffdbb9
aprime_0678_0359e11aa43e,yes,5,,pi:Richard,r_aedb50d0f7da796cc8e2
aprime_0399_c408c8caeb94,yes,5,,pi:Richard,r_b6633c742d0b878fda8c
aprime_0021_ba5e95fbb64d,yes,5,,pi:Richard,r_611067905856609c0cc1
aprime_0064_57bc5f2e1e77,yes,5,,pi:Richard,r_0fceafab6d24303b7a87
aprime_0590_0e185a20ef58,yes,5,,pi:Richard,r_30520d7f9189fbfeab57
aprime_0606_418aa78713d9,yes,5,,pi:Richard,r_0ed602734c1a42c3fc2c
aprime_0083_83e193e56a5d,yes,5,,pi:Richard,r_6cf28d2cf398b7f2e014
aprime_0617_862c4e1adf94,yes,5,,pi:Richard,r_62daad74b185cb1730c7
aprime_0647_92e26629e8be,yes,5,,pi:Richard,r_04828b61388faaed0463
aprime_0366_9e753224479c,yes,5,,pi:Richard,r_68fe67b1766a0a644fb3
aprime_0169_53af4593e3de,yes,5,,pi:Richard,r_5a713bc9c7099bfdbb4c
aprime_0148_6322db97e0dc,yes,3,,pi:Richard,r_cf9ba59c66a00991323c
aprime_0458_e87ad357f1dc,yes,5,,pi:Richard,r_6f72d4dd8b2bb9ef0652
aprime_0529_8e2c9a3cee0a,yes,5,,pi:Richard,r_b77db3094ffab154b990
aprime_0210_a1d0917b9271,yes,5,,pi:Richard,r_739144771a850d45db65
aprime_0318_aff50034eabd,no,5,,pi:Richard,r_4e31d4cfa4e136fdee34
aprime_0256_ed28eaa9f22c,yes,5,,pi:Richard,r_93a15ccbc8859f9fbca6
aprime_0089_0605fcbde128,yes,5,,pi:Richard,r_8499078d4ec65bf8279c
aprime_0656_10c9239a727c,yes,5,,pi:Richard,r_37295eee201b55744f21
aprime_0255_7b8a6ae8b538,yes,5,,pi:Richard,r_30ceccc7b0e49d34515b
aprime_0152_293b2034cccc,yes,5,,pi:Richard,r_e1c9b14ebee68089cf28
aprime_0490_55ab8e50a996,yes,5,,pi:Richard,r_5e2c47c3e12eee9ef634
aprime_0153_10b8552cf5af,yes,5,,pi:Richard,r_1d2aa14c0099a237e3a9
aprime_0582_8d2153d7e3aa,yes,5,,pi:Richard,r_73dba67eca3e9e3565ea
aprime_0237_5fce794f620c,yes,5,,pi:Richard,r_78e38c56a2e410088430
aprime_0304_6033f5316189,yes,5,,pi:Richard,r_2dc4f06f5eab2478df14
aprime_0049_e0aac6d99ffa,yes,5,,pi:Richard,r_4944a1eb7f36a6bb6fb7
aprime_0104_48bbf5a928f5,yes,5,,pi:Richard,r_08afeee71999ba91c19e
aprime_0336_508baa6a6950,yes,5,,pi:Richard,r_6a59e20e521a094b638f
aprime_0588_1e3858b0eca8,yes,5,,pi:Richard,r_74697575a66364686734
aprime_0178_426aef858d6a,yes,5,,pi:Richard,r_0053d6d2f30a5238c72c
aprime_0066_863db45703ed,no,5,,pi:Richard,r_b5fea33560d85cff30a3
aprime_0628_28952d1a4b83,yes,5,,pi:Richard,r_895088121b02ee858884
aprime_0663_d40cba210a01,yes,5,,pi:Richard,r_23c6aac898627b318c02
aprime_0475_70f31eededf2,yes,5,,pi:Richard,r_508a250fade1ec6e550c
aprime_0410_8446dfa77b62,yes,5,,pi:Richard,r_771e6a485732a76e8386
aprime_0090_cda7942f8b50,yes,5,,pi:Richard,r_4e11e07e0409b349e46e
aprime_0194_2fece6846043,yes,5,,pi:Richard,r_8741c3efa3ca62b6f6cf
aprime_0281_36a3b49e6073,yes,5,,pi:Richard,r_84db8c6a073f08437aee
aprime_0572_de34dd4a9828,yes,5,,pi:Richard,r_9b66fd6536f19a546b73
aprime_0101_a0d29cf558ff,yes,5,,pi:Richard,r_aeffb6a849e30dba2f8a
aprime_0548_94fe5343553d,yes,5,,pi:Richard,r_54a9d7851ea0bb4c6610
aprime_0451_f2a3046bab38,yes,5,,pi:Richard,r_6e3ef7a502fa771ece17
aprime_0013_787b3b17faad,yes,5,,pi:Richard,r_9af664331aabcb6ffd9b
aprime_0075_1b2aad741e6c,yes,5,,pi:Richard,r_26466079dd74822ad0c3
aprime_0450_30f99bdb26e3,yes,5,,pi:Richard,r_e1ad66281eeeb1febb2f
aprime_0042_81377c8748f8,yes,5,,pi:Richard,r_53981067e96321c6db7a
aprime_0236_478362009a33,yes,5,,pi:Richard,r_abe76be5d38a191de9f5
aprime_0402_d5d9911e4dba,yes,5,,pi:Richard,r_eb3574550eca9921cba8
aprime_0334_ffa479660183,yes,5,,pi:Richard,r_451d43f67a933ed198a9
aprime_0072_8bbd84c662c3,yes,5,,pi:Richard,r_7846b44a2c91b9914288
aprime_0604_4689a2a5a637,yes,5,,pi:Richard,r_fb63ecbb34ba7a65bb1d
aprime_0367_865a227d0643,yes,5,,pi:Richard,r_639ae96bb365b374675d
aprime_0181_4a745e5475ed,yes,5,,pi:Richard,r_ad1801be34558fd2b066
aprime_0418_381620104ef8,no,5,,pi:Richard,r_9b543babf372ed5b1b41
aprime_0020_165d2ca6da9c,yes,5,,pi:Richard,r_f5269fc7c5453b46e6eb
aprime_0396_d8376f888286,yes,5,,pi:Richard,r_5a340406d9cd78a19b0f
aprime_0051_63864ca8c042,yes,5,,pi:Richard,r_f9849bdd45e9f33e65db
aprime_0478_b5689521556c,yes,5,,pi:Richard,r_6d0fab75b1f54a1a22d4
aprime_0612_8155ef783a1e,yes,5,,pi:Richard,r_dc69f20fed8f7f11f929
aprime_0436_daf6a5405dcc,yes,5,,pi:Richard,r_92b0c394dae8529df9ef
aprime_0394_166a16fd29b6,yes,5,,pi:Richard,r_2dbc102d390cedb6bcc9
aprime_0621_58e54051eb54,yes,5,,pi:Richard,r_04e08f1886583018b599
aprime_0635_0976fdc8bd3d,yes,5,,pi:Richard,r_779080eb291537ef7c5e
aprime_0509_0b45d7de17e5,yes,5,,pi:Richard,r_0bc12c80840c6a95f280
aprime_0652_9cbc424a39c7,yes,5,,pi:Richard,r_7174da991f1d6079d31c
aprime_0186_974bb909f260,yes,5,,pi:Richard,r_641f88d9745e5361aa2f
aprime_0474_0952ccd5b41b,yes,5,,pi:Richard,r_f52929ea8a17e99907fb
aprime_0043_ebc25c0f11b3,yes,5,,pi:Richard,r_92020befdcb84c1570c7
aprime_0644_d370ede41172,yes,5,,pi:Richard,r_70d21b25330578948c5f
aprime_0471_c8d3ce354559,yes,5,,pi:Richard,r_c1f7379ac0cc83b4615a
aprime_0421_dac3243f8e5f,yes,5,,pi:Richard,r_1852cbf2c218ee1db218
aprime_0383_0d49a21c2ebc,yes,5,,pi:Richard,r_ee16ae787628928be252
aprime_0162_8bfe80d445ae,yes,5,,pi:Richard,r_7ca81c7ff7d9f4403d5d
aprime_0552_bcf31e098af0,yes,5,,pi:Richard,r_3384d9c776886d8119ea
aprime_0508_7023bce96948,yes,5,,pi:Richard,r_081f3eb1fa1e5d9d7004
aprime_0311_b51e6eaab5cc,yes,5,,pi:Richard,r_c05b07a99f173231ba77
aprime_0564_41ea0a00617f,yes,5,,pi:Richard,r_02178a6bb260a8219b31
aprime_0320_93f891edfbd2,yes,5,,pi:Richard,r_5616b969b5723c264051
aprime_0313_1f330e151b70,yes,5,,pi:Richard,r_5bb88ff7c00a122111ce
aprime_0016_190db19d0ad7,yes,5,,pi:Richard,r_71c5665eba6bd2477885
aprime_0197_8ebaf6d67812,yes,5,,pi:Richard,r_1d6af5b31483cf74b414
aprime_0228_821d00820017,yes,5,,pi:Richard,r_7909403b860b90d97916
aprime_0504_a572116e2b38,yes,5,,pi:Richard,r_219816246554732588bc
aprime_0110_2e424726f7ec,yes,5,,pi:Richard,r_544e9c6c4ea1eb995a17
aprime_0502_95ced68c584f,yes,5,,pi:Richard,r_1ecd4b698f90b241085f
aprime_0211_50059199e23a,yes,5,,pi:Richard,r_38c4374fb902dd87ce87
aprime_0641_b8020558b0b8,no,5,,pi:Richard,r_abaa8cf48954845543b7
aprime_0030_61dd0835fc9a,yes,5,,pi:Richard,r_65c2bb15ee03d69139d8
aprime_0627_a8555cc90269,yes,5,,pi:Richard,r_5885ac6dab4d8f363c59
aprime_0151_ba0b2687d533,yes,3,,pi:Richard,r_1602b32ba3bfb0df0968
aprime_0377_f5a5087746aa,yes,5,,pi:Richard,r_f091091ccae8e7fb4e08
aprime_0462_c4e504aa2898,no,4,,pi:Richard,r_dd5b104f5f88e5c88ded
aprime_0126_a6a45628d4c6,yes,5,,pi:Richard,r_ae138e721f58676a1738
aprime_0142_a2eefd741ab7,no,5,,pi:Richard,r_4176fed4f5948d45768f
aprime_0385_c0d11033eab8,yes,5,,pi:Richard,r_1581c0fe9686108299f5
aprime_0567_07c3ec3b4c72,yes,5,,pi:Richard,r_53f1af2f88dab017780a
aprime_0515_55e69598f51a,yes,5,,pi:Richard,r_aa1529b2c0eb725ac095
aprime_0018_39e73630f43c,yes,5,,pi:Richard,r_85aa789a03da0a8b7fc2
aprime_0234_f26770d95b42,yes,5,,pi:Richard,r_9f37e9f4e9a1dd33e2db
